,index,neg,neu,pos,compound,review,sentiment_category,polarity,sentiment_average_score
1017,1017,0.047,0.787,0.166,0.9971,Much better experience this time around Flew CPT to LHR on a new A350 Checkin was efficient I used the Bidvest lounge at CPT as it is better than BAs lounge Boarding was speedy The new business class club suites are very good Slightly irritating to be directed to the wrong seat 1A instead of 1K which meant that after settling in the passenger in 1A showed up We arranged a seat switch Second time in a row it has happened Why cant BA staff memorise which side of the plane is which and get it right Captains announcement was short and on point Welcome drink was served at the correct temperature ie cold first time ever for me  previously BA has always served the welcome champagne warm IFE system was good  everything worked as it should Felt slightly cheap that business class passengers have to pay for wifi I did not bother Cocktail was good The nuts came on a cheap plastic tray which was naff  other airlines bring out something classier A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast She repeated back to me so you want a P and a C It was such a bizarre thing to say that I misheard I thought she said so you want beef and sea Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying P for panacotta and C for chicken But how bizarre to repeat back an order to a passenger in code Why not just say so to confirm panacotta to start and chicken as your main dish like every other restaurant  airline does in the world The internal coding of food ordering is exactly that  internal She even looked irritated at me that I did not understand her jargon first time The food when it came was excellent Much much better than recent flights I read somewhere that BA changed caterer If so it shows The panacotta was superb as was the chicken  good restaurant quality The wine was OK to good but definitely not good to excellent I feel that while the food has got better in BA business class the wines have got worse Certainly compared to Air France which I have also flown recently The wine was brought out on time not afer I finished eating as it was lass time I flew BA business Cheese was also good and not teeth crackingly cold as last time I had a good nights sleep Plenty of snacks out if you wanted them and they did not run out Breakfast was excellent and the coffee was hot previously it has been lukewarm So all in all a vastly improved service offering The staff seemed rushed off their feet  it would not hurt to have an extra flight attendant to look after so many business class seats Overall summary vastly improved passenger proposition It would be 1010 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes,Positive,0.17980367050789586,0.588451835253948
1004,1004,0.05,0.864,0.086,0.7708, For the price paid bought during a sale it was a decent experience although the club class business class seats offer no more legroom than economy class using shorthaul fleet on a 4 hour flight Fast track through security was not honoured The lounge at Istanbul airport was overcrowded as it is also open to the public who can pay for usage causing a long queue for entry  which was badly organised Boarding was smooth cabin crew were friendly but their service was hitandmiss Eg Some people got a “welcome” and some didn’t Half of the cabin was automatically offered coffee after dinner but not the other half However drinks were replenished generously and regularly and the meal was good with a choice of three mains from the menu,Positive,0.07888888888888891,0.42484444444444447
2209,2209,0.064,0.845,0.091,0.8861,Not    Overall not bad Staff look tired and overworked trying their best Weird seats I was in 21G going and 21D going home The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work There is another button also very stiff to bring the “leg rest” out This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs but just obstructs your feet really Again I had to get help to activate the very stiff buttons At one point the lady next to me was pressing the buttons for me while I tried to recline sit up or put the “leg rest” back We gave up and called the flight attendant who also had trouble BA please give this some maintenance Food only one out of three menu choices available by the time it got to me in Premium Ec It was pasta and was not too bad A Christmas Turkey Dinner was offered but why not load more if it is so popular that it is not available 10 minutes into the meal service “Breakfast” was an unidentified soggy pastry thing in a cardboard tube It was disgusting same offered on return journey A cold pastry and fruit would be so much nicer The tea and coffee was hot at least Overall I would say Air Canada provides a much superior Premium Ec service than BA I won’t choose BA again,Negative,-0.02571428571428572,0.43019285714285715
1001,1001,0.073,0.764,0.163,0.9493, First time using BA business class but we were pleased with the service received No one was waiting at check inbag drop and through security in 2 minutes We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger bc cabin behind that had about 30 seats Again food and drinks were plenty full and good quality Service from the cabin crew was excellent and the cabin manager Lauren even made up a birthday card when she found out it was my wife’s special birthday Departed early and arrived at JFK early as well The only thing that I disliked was paying £117 each to select our seats and no free wifi,Positive,0.1926984126984127,0.5709992063492064
3359,3359,0.055,0.856,0.089,0.7579,     Caught up in the Gatwick cancellation fiasco at some point between what was smooth check in unable to do online as part of group travel and security the flight was cancelled we were denied entry to security and departures as a result It was at this point that we discovered BA Gatwick are not BA but a masquerade who are unable to help and and provide very little assistance unless the real BA provide information and even though our baggage was now airside didnt have a clue as to how we could get it back It is however with thanks to a supervisor from Business Class check in who came to our assistance and help with our predicament baggage retrieval information on what to claim and how and our revised BA flight from LHR the following evening Difficult to give a rating for cabin service as we didnt even board the aircraft,Negative,-0.10486111111111113,0.3265194444444445
2210,2210,0.071,0.697,0.231,0.969,This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them As we were connecting we had little interaction with ground staff  staff in the lounge were friendly and helpful Cabin crew on the flight were great  very welcoming and friendly Our meals were delicious  no shortage of drinks being offered The seats were economy seats with the middle row blocked off and some recline We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm Bags checked in at JFK were delivered safely within 20 mins of arriving,Positive,0.2734375,0.6212187499999999
2213,2213,0.061,0.813,0.126,0.9856, Check in was chaotic and badly organised Even though there were two desks one for premium and one economy there ended up being just one queue in front of the premium check in even though most passengers in it were economy That meant that those travelling in club or with higher status had no separate queue to join Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers unnecessarily badly organised the staff in charge should be retrained Security at the airport was very quick and through to the lounge This is a generic airport lounge for all airlines and it is actually quite good overall Nice layout and seating options reasonable food and drink options and an outdoor terrace which is really nice Boarding was very well organised although quite slow to get everyone on board but the flight was probably only half full and we still departed early so I think they felt no rush and it actually made the boarding experience nicer and more relaxed On board the club Europe seats are fine by European business standards although as previously commented are really not very good overall the meal service was disappointing As is normal BA do not stock enough of the proper meal option  when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class rolling some mush similar consistency to mashed potato into a sausage shape does not make it a sausage BA you need to improve the meal options make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals  then people will not be left with such a substandard alternative when their first choice runs out Whilst I hadn’t planned on using it the on board WiFi was not functioning so was not available to use Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient I used avios to pay for the flight so it was obviously good value for money for me,Positive,0.09246466118915099,0.5390323305945756
3363,3363,0.0,0.67,0.33,0.9939,  Excellent service levels proactive crew and superb food and beverages I found all aspects of the service to be superior to BA business class even the new BA Club Suites First Class felt exclusive the dedicated crew were clearly used to working the premium cabin enjoying their work were proactive friendly very respectful and the food and beverage offering a considerable step up from business class The seat with sliding double doors was spacious well designed and very comfortable  British Airways offered a solid First Class service from Concorde Lounge to boarding which was actually by group number for a change to the very warm and genuine welcome on boarding A consistent solid comfortable service from start to finish and if the price was right I would not hesitate to book First Class with British Airways again,Positive,0.34988311688311696,0.6718915584415585
2950,2950,0.024,0.901,0.076,0.8708,Not    I have flow on BA several times since the airline started nonstop service between Austin TX and London Heathrow Every year the service gets worse I brought a tape measure with me to see how far apart the seats are in the economy section 25½ inches BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft Thankfully Im not a big person and was able to squeeze into my seat without being too uncomfortable When BA first started flying out of Austin the food was great Now when I arrive at Heathrow I get real food and take it on the plane with me I dont know where or who makes BAs food but it is not eatable If BA did not have a direct flight from my hometown to London I would fly with a different airline When we checked into Heathrow the line was extremely long and only one person was checking people in It took nearly an hour to get to the counter I understand airlines are making record profits and need to make up lost revenue from the pandemic but I think BA has gone too far and has little concern for customer service in pursuit of profits,Positive,0.11118421052631583,0.49099210526315795
2201,2201,0.073,0.764,0.163,0.9493, First time using BA business class but we were pleased with the service received No one was waiting at check inbag drop and through security in 2 minutes We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger bc cabin behind that had about 30 seats Again food and drinks were plenty full and good quality Service from the cabin crew was excellent and the cabin manager Lauren even made up a birthday card when she found out it was my wife’s special birthday Departed early and arrived at JFK early as well The only thing that I disliked was paying £117 each to select our seats and no free wifi,Positive,0.1926984126984127,0.5709992063492064
624,624,0.038,0.897,0.065,0.7992, I had broken my leg 2 days before our return flight from Lisbon to London I called to get some assistance from British Airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that I could stretch out my broken leg which was in a cast This airline failed on all fronts Quoted us a price of €6000 each I was traveling with my husband which we could not do Almost didnt let me on the plane trying to interpret my medical report They did not attempt to change our seats which were near the back The single concession they made was to allow me to board 1st but did not offer a wheelchair so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat as the aisles are not wide enough for crutches Might I add I am nearly 70 Had to exit same way No wheelchair waiting for me at Heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so Took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board That flight had allowed us to upgrade to business class for a reasonable price and took great care of me,Negative,-0.011946532999164572,0.3936267335004177
2190,2190,0.015,0.851,0.134,0.9698,Mumbai to London Heathrow in Business Class on an ageing B777200 This aircraft featured the older Club World flatbed seats They are comfortable there is enough storage space around the cubicle and the monitor screen is among the larger ones Ive seen on airplanes BAs new Club Suites are said to be far superior competing with the best Bclass rivals The entire Business Class cabin had just 2 washrooms but it wasnt an issue on this flight since the premier section wasnt at full capacity There was WiFi on board fast enough to even send videos via messaging apps Service onboard was competent but the staff lacked warmth The food was alright and no more The biggest plus of this flight is that it gets out of Bombay at 110 pm in the afternoon instead of the ungodly early morning hours most international flights take off from India The airport experience is far more pleasant at this time In summary British Airways provides a good but not spectacular Business Class product,Positive,0.2450592885375494,0.6074296442687747
3343,3343,0.042,0.544,0.413,0.9546,First time flying British Airways and I would not hesitate to fly economy with them again Flight attendants were pleasant and efficient Excellent special meal low sodium Comfortable space in economy One of my better flights,Positive,0.4489417989417989,0.7017708994708994
3344,3344,0.073,0.726,0.201,0.969,Not    I flew London to Cairo and return in October 2023 It was basically a perfectly good pair of flights in Economy with pleasant and professional cabin crew especially on the return journey Being only 173 m tall I have no problem with legroom in the back of the plane the seat was OK if getting a little numbing after 5 hours and the return of a rather good included snack box and drinks was welcome However it must be said that the value for money was poor with a checked bag on the return leg only this was a nearly £700 ticket And although I am content to pass the time by reading or sleeping it was surprising to find no inflight entertainment on 5hour flights However overall I would still recommend BA and would do so even more enthusiastically if it was more sensibly priced,Positive,0.2791666666666667,0.6240833333333333
1050,1050,0.024,0.901,0.076,0.8708,Not    I have flow on BA several times since the airline started nonstop service between Austin TX and London Heathrow Every year the service gets worse I brought a tape measure with me to see how far apart the seats are in the economy section 25½ inches BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft Thankfully Im not a big person and was able to squeeze into my seat without being too uncomfortable When BA first started flying out of Austin the food was great Now when I arrive at Heathrow I get real food and take it on the plane with me I dont know where or who makes BAs food but it is not eatable If BA did not have a direct flight from my hometown to London I would fly with a different airline When we checked into Heathrow the line was extremely long and only one person was checking people in It took nearly an hour to get to the counter I understand airlines are making record profits and need to make up lost revenue from the pandemic but I think BA has gone too far and has little concern for customer service in pursuit of profits,Positive,0.11118421052631583,0.49099210526315795
3346,3346,0.041,0.75,0.209,0.9628,Not     Flew back from Malta after scattering our sons ashes at his favourite spots When we boarded the aircraft for our return flight my wife became upset A member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her Her name is Tracey an exceptional crew member I noticed she spoke to other travellers in a courteous manner and was friendly Each time she passed my wife she asked how she was and would she like anything This kindness made a difficult time easier for us both Aircraft seats were comfortable and service good for a 2hrs 45mins flight Thank you BA,Positive,0.2645833333333333,0.6136916666666666
1046,1046,0.041,0.75,0.209,0.9628,Not     Flew back from Malta after scattering our sons ashes at his favourite spots When we boarded the aircraft for our return flight my wife became upset A member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her Her name is Tracey an exceptional crew member I noticed she spoke to other travellers in a courteous manner and was friendly Each time she passed my wife she asked how she was and would she like anything This kindness made a difficult time easier for us both Aircraft seats were comfortable and service good for a 2hrs 45mins flight Thank you BA,Positive,0.2645833333333333,0.6136916666666666
1044,1044,0.073,0.726,0.201,0.969,Not    I flew London to Cairo and return in October 2023 It was basically a perfectly good pair of flights in Economy with pleasant and professional cabin crew especially on the return journey Being only 173 m tall I have no problem with legroom in the back of the plane the seat was OK if getting a little numbing after 5 hours and the return of a rather good included snack box and drinks was welcome However it must be said that the value for money was poor with a checked bag on the return leg only this was a nearly £700 ticket And although I am content to pass the time by reading or sleeping it was surprising to find no inflight entertainment on 5hour flights However overall I would still recommend BA and would do so even more enthusiastically if it was more sensibly priced,Positive,0.2791666666666667,0.6240833333333333
1043,1043,0.042,0.544,0.413,0.9546,First time flying British Airways and I would not hesitate to fly economy with them again Flight attendants were pleasant and efficient Excellent special meal low sodium Comfortable space in economy One of my better flights,Positive,0.4489417989417989,0.7017708994708994
1034,1034,0.013,0.927,0.06,0.7964,"Not    
We traveled to Lisbon for our dream vacation a cruise to Portugal and Spain Our friends did not EVER get their luggage It was a two week cruise Two weeks without a change of clothes or her CPAP machine Contacting customer service was a nightmare We never talked to a real person Very little effort was put into getting them their bags In one port we were on the ship and the bags were at the airport The airlines did not deliver the bags nor did they tell our friends that they needed to go get them The airline couldn’t be bothered to take the bags from the airport to the ship BA says it is their policy to get you your bags within 72 hours That is a joke It’s been over two weeks and they still don’t have them They are back home in the US and last they heard the bags were in Lisbon If your have a choice do not fly British Airways Customer Service is non existent",Negative,-0.07395833333333333,0.3612208333333333
1019,1019,0.049,0.782,0.168,0.8462, BA A380s are showing their age hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours Cabin crew were good and helpful Dinner was ok but the breakfast was grim On board entertainment was not the latest and seat back USB points didnt work The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this if youre prepared to lay over then there are better airlines out there,Positive,0.16203703703703703,0.5041185185185185
2955,2955,0.05,0.784,0.165,0.9879,  I am a frequent flyer with BA and have been for the last 15 years Having noted the ratings given frankly I cannot understand how BA scores three stars for most aspects of its service In a nutshell BA has placed profit margins over passenger appreciation This fact was hammered home on my return leg which was not in Club Europe Quite alarmingly BA appears to place profit over passenger safety by extending its Business Class seating up to and beyond emergency exit rows and then failing to ensure those seated in exit rows have the physical capacity to actually open the door incase of an emergency I was not at all reassured to see an elderly and slightly built woman seated with the responsibility of opening the overwing exit should the need have arisen Shorthaul business Club Europe is simply a joke and only useful for gaining valuable tier points for loungepreboarding benefits While cabin crew service is excellent the lack of space and reduction in refreshment choices etc places them a million airmiles behind competing airlines such as Qatar Turkish or Emirates who understand the true definition of customer appreciation and hospitality BA has consistently eroded the value of their Executive Club and seems to be of the impression that recent changes in obtaining avios points during the booking process benefit passengers  really I want to support BA and did enjoy flying with them up to the point when they started penny pinching and became more deserving of the name Budget Airways The attached photos taking during my most recent itinerary highlight the difference in customer careappreciation between British Airways and another airline used in this trip Both flights were around 4 hours in duration on the same day Guess which one is shows BAs inflight offering,Positive,0.16805555555555554,0.5779777777777778
3350,3350,0.024,0.901,0.076,0.8708,Not    I have flow on BA several times since the airline started nonstop service between Austin TX and London Heathrow Every year the service gets worse I brought a tape measure with me to see how far apart the seats are in the economy section 25½ inches BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft Thankfully Im not a big person and was able to squeeze into my seat without being too uncomfortable When BA first started flying out of Austin the food was great Now when I arrive at Heathrow I get real food and take it on the plane with me I dont know where or who makes BAs food but it is not eatable If BA did not have a direct flight from my hometown to London I would fly with a different airline When we checked into Heathrow the line was extremely long and only one person was checking people in It took nearly an hour to get to the counter I understand airlines are making record profits and need to make up lost revenue from the pandemic but I think BA has gone too far and has little concern for customer service in pursuit of profits,Positive,0.11118421052631583,0.49099210526315795
1029,1029,0.034,0.645,0.321,0.9908, Quick bag drop at First Wing but too many passengers so had to use fast track security in main terminal Direct entry to Concorde room outside security south Ate excellent breakfast which was served promptly Concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar Boarding from c gates was disorganised and slow On board cabin crew excellent Good choice of beverages and these were of high quality Food was good Seat comfortable No first bedding provided On time arrival into Miami Baggage took 1 hour to arrive,Positive,0.3991666666666667,0.6949833333333334
1024,1024,0.038,0.897,0.065,0.7992, I had broken my leg 2 days before our return flight from Lisbon to London I called to get some assistance from British Airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that I could stretch out my broken leg which was in a cast This airline failed on all fronts Quoted us a price of €6000 each I was traveling with my husband which we could not do Almost didnt let me on the plane trying to interpret my medical report They did not attempt to change our seats which were near the back The single concession they made was to allow me to board 1st but did not offer a wheelchair so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat as the aisles are not wide enough for crutches Might I add I am nearly 70 Had to exit same way No wheelchair waiting for me at Heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so Took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board That flight had allowed us to upgrade to business class for a reasonable price and took great care of me,Negative,-0.011946532999164572,0.3936267335004177
1022,1022,0.0,0.761,0.239,0.9516, The flight took off a little late due to Heathrow congestion but still landed on schedule Boarding was smooth and the onboard service was efficient A small snack was served for free with a bottle of water additional items were available for purchase The cabin and toilets were very clean Overall an unremarkable flight but in a good way,Positive,0.15141666666666667,0.5515083333333334
